SVN PATH                                                  | NAME                                | VERSION        | WEB ADDRESS                                                     | MAINTAINED | EYEOS CHANGES
==========================================================|=====================================|================|=================================================================|============|==============
eyeOS/apps/eyeFeeds/simplepie.eyecode                     | SimplePie                           | 1.2            | http://simplepie.org/                                           | 08/2009    | 
eyeOS/apps/eyeMail/                                       | PHPMailer                           | 5.1            | http://phpmailer.sf.net/                                        | 08/2009    | 
eyeOS/apps/eyeSoft/libCompress.eyecode                    | PclTar (Mambo package)              | 4.6.5          | http://mambo-foundation.org/                                    | no         | utf8, marked
eyeOS/apps/eyeString/lib/Roman.eyecode                    | Numbers_Roman                       | 1.0.2          | http://pear.php.net/package/numbers_roman                       | no         | utf8, marked
eyeOS/extern/apps/eyeMp3/swf/webplayer.swf                | WebMinster WebPlayer                | 2.0.1          | http://webminster.org/                                          | no         | 
eyeOS/extern/apps/eyeShow/                                | Slimey                              | 0.2            | http://slimey.sourceforge.net/                                  | 04/2009    | yes, marked
eyeOS/extern/apps/eyeSheets/                              | Simple Spreadsheet                  | 0.541          | http://simple-groupware.de/                                     | 10/2009    | yes
eyeOS/extern/apps/eyeVideo/                               | Flowplayer                          | 3.2.5          | http://flowplayer.org/                                          | 10/2009    | 
eyeOS/extern/apps/eyeX/js/eyeX.js                         | Flash Detect                        | 1.0.4          | http://featureblend.com/javascript-flash-detection-library.html | no         | 
eyeOS/extern/apps/eyeX/js/eyeX.js                         | htmlspecialchars (PHP.JS)           | 1009.2513      | http://phpjs.org/functions/htmlspecialchars:426                 | 10/2009    | 
eyeOS/extern/apps/eyeX/js/eyeX.js                         | get_html_translation_table (PHP.JS) | 1009.2513      | http://phpjs.org/functions/get_html_translation_table:416       | 10/2009    | 
eyeOS/extern/apps/eyeX/js/eyeX.js                         | md5 (PHP.JS)                        | 1009.2513      | http://phpjs.org/functions/md5:469                              | 10/2009    | 
eyeOS/extern/apps/eyeX/js/eyeX.js                         | utf8_encode (PHP.JS)                | 1009.2513      | http://phpjs.org/functions/utf8_encode:577                      | 10/2009    | 
eyeOS/extern/apps/eyeX/js/eyeX.js                         | xLibrary                            | 4.21           | http://cross-browser.com/                                       | 02/2010    | yes
eyeOS/extern/libs/eyeSound/                               | SoundManager 2                      | 2.97a.20101221 | http://schillmania.com/projects/soundmanager2/                  | 02/2010    | marked
eyeOS/extern/libs/eyeWidgets/codepress/                   | CodePress                           | 0.9.6          | http://codepress.sf.net/                                        | no         | yes
eyeOS/extern/libs/eyeWidgets/jscolor/                     | jscolor                             | 1.3.1          | http://jscolor.com/                                             | 10/2009    | 
eyeOS/extern/libs/eyeWidgets/tiny_mce/                    | TinyMCE                             | 3.2.7          | http://tinymce.moxiecode.com/                                   | 10/2009    | yes
eyeOS/system/lib/eyeAddressBook/lib/vcard_builder.eyecode | Contact_Vcard_Build                 | 1.1.2          | http://pear.php.net/package/contact_vcard_build                 | 08/2009    | utf8, marked
eyeOS/system/lib/eyeAddressBook/lib/vcard_parser.eyecode  | Contact_Vcard_Parse                 | 1.31.0         | http://pear.php.net/package/contact_vcard_parse                 | no         | utf8, marked
eyeOS/system/lib/eyeCompress/main.eyecode                 | PclTar (PhpZip package)             | 2.8.2          | http://phpconcept.net/phpzip/index.en.php                       | no         | utf8, marked, ["TrFctEnd", "TrFctMessage", "TrFctStart"]
eyeOS/system/lib/eyeContacts/lib/vcard_builder.eyecode    | Contact_Vcard_Build                 | 1.1.2          | http://pear.php.net/package/contact_vcard_build                 | 08/2009    | utf8, marked
eyeOS/system/lib/eyeContacts/lib/vcard_parser.eyecode     | Contact_Vcard_Parse                 | 1.31.0         | http://pear.php.net/package/contact_vcard_parse                 | no         | utf8, marked
